title,author,price
Sepasang Sepatu Tua, Sapardi Djoko Damono , 89000
Psychic Detective Yakumo 4 : Feelings To Protect, Manabu Kaminaga , 105000
Psychic Detective Yakumo 3 : The Light Beyond The Darkness, Manabu Kaminaga , 115000
The Voices and Echoes of Love, Indah P. , 90000
Saga Dari Samudra, Ratih Kumala , 99000
Mustika Zakar Celeng, ADIA PUJA , 107000
The Confession Of The Sirens Nyanyian Sang Siren, Shichiri Nakayama , 95000
Bungo Stray Dogs 3 - Kisah Rahasia Berdirinya Biro Detektif, Kafka Asagiri , 98000
Emerald Pieces: The Stone and the Throne (Emerald Pieces #2), MIA A. ULFAH , 99000
Kisah dari Halaman Belakang, Wacaku None , 130000
Orang Keren Tidak Menengok Ke Arah Ledakan Dan Cerita-Cerita Orang Keren Lainnya, Rio Johan , 99000
"Kambing Hitam, Teori Rene Girard",  Sindhunata , 179000
Puisi Malala, Indra Intisa , 75000
Ikan Adalah Pertapa, KO Hyeong Ryeol , 135000
A Bouquet of Memories and You, Raissa Almira , 95000
Air Mata Saudaraku, S. Mara Gd , 99000
English Classics: White Fang, Jack London , 69000
English Classics: Greyfriars Bobby, Eleanor Atkinson , 59000
English Classics: Moby-Dick, Herman Melville , 139000
Asmara Berujung Petaka (Deadly Affair), Agatha Christie , 69000
Bara Api Perlahan (A Slow Fire Burning), Paula Hawkins , 109000
Putri Cina,  Sindhunata , 99000
Berdansa Dengan Kematian, Acek Rudy , 100640
Vermilion Rain, Kai Elian , 71200
Angsa dan Kelelawar, Keigo Higashino , 119200
Sadness &amp; Other Things, Afifah Rossy Wardhani , 92000
The Nightingale (New Edition), Kristin Hannah , 136000
Kondensasi, Poppy D. Chusfani , 55200
Lord of the Darkwood, Lian Hearn , 63200
Lupus: Interview with the Nyamuk,  Hilman , 63200
"Lupus: Idiiih, Udah Gede!",  Hilman , 55200
Lupus: Iiih Syereeem!,  Hilman , 55200
Kenanga, Ida Ayu Oka Rusmini , 103200
Sagra, Ida Ayu Oka Rusmini , 79200
Tempurung, Ida Ayu Oka Rusmini , 127200
Corat-coret di Toilet, Eka Kurniawan , 63200
Psychic Detective Yakumo The Abyss Of A Soul, Manabu Kaminaga , 92000
Fickle &amp; Brittle, Lula None , 109650
"Bilang Begini, Maksudnya Begitu", Sapardi Djoko Damono , 47200
Alih Wahana, Sapardi Djoko Damono , 63200
Silent Demon, Fino Y.K. None , 58500
Crying in H Mart (Menangis di H Mart), Michelle Zauner , 95200
Tiara Retak, Achi TM , 87200
Lupus: Lupus n'Work, Hilman  , 55200
Lupus: Drakuli Kuper, Hilman  , 55200
Dune: Bagian 1, Frank Herbert , 96750
Lokananta, Aji Fauzi , 68000
Cahaya Mentari Pagi, Maria A. Sardjono , 71200
S1ngle, Anna Narmina , 71200
